house_id,coordinates_lat,coordinates_lng,date,trap_type,trap_location,any_meassures,adult_house,kids_house,young_kids_house,adult_room,kids_room,young_kids_room,sleep_outdoors,cook,gambiae_count,funestus_count,funestus_parensis,funestus_funestus,funestus_leesoni,gambiae_arabiensis,gambiae_quadrianulatus,gambiae_merus
6011-056,-24.5619178,32.65594582,5/10/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6018-028,-24.89398052,32.34505775,10/25/16,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6018-033,-24.89296733,32.35000048,4/26/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6079-008,-24.49666865,32.08046641,3/15/16,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6045-013,-25.02673244,32.61610871,1/15/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6018-037,-24.89477965,32.35364914,7/22/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6078-012,-24.48919977,32.1135347,3/29/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6078-003,-24.49135507,32.11761812,5/27/15,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6071-006,-25.24114862,32.46564106,2/24/17,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
3612-002,-25.05048715,32.7539929,10/13/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,2,0,0,0,0,0,0,0
6018-020,-24.89150728,32.34437339,10/28/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6002-058,-24.80536972,32.85758728,5/13/16,2,1,1,2,0,0,2,0,0,NA,2,2,0,0,0,0,0,0,0
6018-049,-24.90188874,32.34575088,8/17/16,1,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6079-028,-24.49064756,32.07889298,8/25/15,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6001-081,-24.80450873,32.86264349,3/8/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6002-058,-24.80532338,32.85731341,7/8/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6018-053,-24.90404351,32.36256912,12/14/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6046-287,-25.03150683,32.64704469,4/20/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6080-046,-24.49782845,32.10792401,7/25/17,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6078-014,-24.48952956,32.11110937,12/20/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6072-037,-25.17505292,32.48293065,4/28/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6072-043,-25.1788054,32.48233336,7/22/16,2,2,0,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0
6011-056,-24.56184531,32.65580009,8/31/16,1,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6079-079,-24.49309844,32.08400175,3/15/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6018-052,-24.90296596,32.35803438,8/18/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6044-487,-25.03122683,32.64219099,7/10/15,2,1,1,2,3,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6045-529,-25.02942503,32.62389571,10/20/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6078-026,-24.48828562,32.09694473,4/20/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
3605-214,-25.05253395,32.78601331,11/9/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6072-047,-25.18054638,32.48685832,1/19/18,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6018-049,-24.90208266,32.34567104,7/21/15,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6018-020,-24.89157932,32.34440238,9/21/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6072-037,-25.17515477,32.48281762,10/27/16,1,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6018-028,-24.8937891,32.34508086,7/21/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6044-398,-25.02886652,32.63840204,7/14/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6078-004,-24.48928336,32.11664446,3/28/17,2,1,1,1,0,0,1,0,0,NA,2,1,0,0,0,0,0,0,0
6011-039,-24.56885041,32.66225713,10/14/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6018-049,-24.90210131,32.34582153,4/15/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6001-098,-24.80252085,32.86194505,10/13/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6011-030,-24.56608418,32.66598765,7/4/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6011-039,-24.56875552,32.66208796,7/31/15,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6078-008,-24.4892394,32.11540065,10/18/16,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6011-059,-24.56294125,32.66023316,11/5/15,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6044-461,-25.03199926,32.64019902,7/6/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6072-050,-25.18201647,32.48552217,3/29/16,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6018-069,-24.89711307,32.35294586,4/25/17,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6079-053,-24.48316746,32.07468669,8/23/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6001-009,-24.81361955,32.86593928,10/12/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6002-058,-24.80526285,32.85756378,7/8/15,1,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6018-065,-24.90090152,32.35211279,7/21/17,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6072-027,-25.15375421,32.48351859,10/28/16,2,1,1,1,0,0,1,0,0,NA,2,3,0,0,0,0,0,0,0
6018-015,-24.88967074,32.3451193,2/22/17,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6011-059,-24.56280254,32.66016435,5/11/16,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6018-058,-24.90447465,32.36145263,2/21/17,2,1,1,2,0,0,2,0,0,NA,2,2,0,0,0,0,0,0,0
3605-214,-25.05217172,32.78602563,6/13/17,2,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6001-032,-24.81116769,32.8609409,8/4/15,1,1,1,2,0,0,2,0,0,NA,2,1,0,0,0,0,0,0,0
